frame_len;vlan_id;ip_len;ip_flags_df;ip_ttl;x_ws_expert_severity;tcp_srcport;tcp_dstport;tcp_len;tcp_hdr_len;tcp_window_size_value;tcp_pdu_size;x104apci_apdulen;x104apci_tx;x104apci_rx;x104asdu_typeid;x104asdu_causetx;attack
60;NaN;44;0;44;2097152;56967;51228;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;55;2097152;58308;8517;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;45;2097152;56967;53181;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;54;2097152;47233;28710;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;39;2097152;58308;48555;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;58;2097152;47233;35725;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;58;2097152;56967;8375;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;55;2097152;58308;52891;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;53;2097152;47233;4423;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;42;2097152;56967;38594;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;39;2097152;56967;15258;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;38;2097152;58308;32014;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;52;2097152;58308;18429;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;44;2097152;47233;18944;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;50;2097152;56967;32504;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;45;2097152;47233;47521;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;55;2097152;56967;28266;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;53;2097152;58308;35036;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
94;NaN;80;1;64;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1
94;NaN;80;1;64;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;52;2097152;58308;39086;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;37;2097152;47233;22855;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
60;NaN;44;0;53;2097152;58308;16163;0;24;1024;NaN;NaN;NaN;NaN;NaN;NaN;1
